OID	rank	time	OID_from
1	No	#	#
2	No	#	#
3	No	#	#
4	No	#	#
5	No	#	#
6	No	#	#
7	No	#	#
8	No	#	#
9	No	#	#
10	3	100	1205
11	No	#	#
12	No	#	#
13	No	#	#
14	No	#	#
15	No	#	#
16	No	#	#
17	No	#	#
18	No	#	#
19	No	#	#
20	No	#	#
21	No	#	#
22	No	#	#
23	No	#	#
24	No	#	#
25	No	#	#
26	No	#	#
27	No	#	#
28	No	#	#
29	No	#	#
30	No	#	#
31	No	#	#
32	No	#	#
33	No	#	#
34	No	#	#
35	1	35	436
36	No	#	#
37	2	96	228
38	2	54	869
39	4	99	702
40	No	#	#
41	No	#	#
42	5	82	449
43	No	#	#
44	No	#	#
45	No	#	#
46	No	#	#
47	No	#	#
48	No	#	#
49	No	#	#
50	No	#	#
51	No	#	#
52	No	#	#
53	No	#	#
54	No	#	#
55	No	#	#
56	No	#	#
57	No	#	#
58	No	#	#
59	No	#	#
60	No	#	#
61	No	#	#
62	6	92	351
63	No	#	#
64	No	#	#
65	No	#	#
66	No	#	#
67	No	#	#
68	2	9	167
69	2	9	167
70	2	9	167
71	2	9	167
72	3	59	68
73	3	25	68
74	2	9	167
75	No	#	#
76	No	#	#
77	No	#	#
78	No	#	#
79	No	#	#
80	No	#	#
81	No	#	#
82	No	#	#
83	No	#	#
84	No	#	#
85	No	#	#
86	No	#	#
87	No	#	#
88	No	#	#
89	No	#	#
90	No	#	#
91	No	#	#
92	No	#	#
93	No	#	#
94	4	83	484
95	5	90	94
96	3	90	762
97	No	#	#
98	No	#	#
99	No	#	#
100	4	95	769
101	No	#	#
102	No	#	#
103	No	#	#
104	No	#	#
105	No	#	#
106	No	#	#
107	No	#	#
108	No	#	#
109	5	93	349
110	4	83	1214
111	No	#	#
112	2	93	420
113	No	#	#
114	No	#	#
115	No	#	#
116	No	#	#
117	3	95	590
118	No	#	#
119	No	#	#
120	No	#	#
121	Source	#	#
122	6	82	403
123	No	#	#
124	No	#	#
125	No	#	#
126	No	#	#
127	2	94	420
128	No	#	#
129	No	#	#
130	No	#	#
131	No	#	#
132	No	#	#
133	No	#	#
134	No	#	#
135	No	#	#
136	2	77	1220
137	No	#	#
138	No	#	#
139	No	#	#
140	No	#	#
141	No	#	#
142	No	#	#
143	2	70	563
144	No	#	#
145	No	#	#
146	No	#	#
147	No	#	#
148	No	#	#
149	4	75	827
150	4	83	1214
151	No	#	#
152	5	86	726
153	No	#	#
154	No	#	#
155	No	#	#
156	No	#	#
157	No	#	#
158	No	#	#
159	No	#	#
160	No	#	#
161	No	#	#
162	No	#	#
163	No	#	#
164	No	#	#
165	No	#	#
166	No	#	#
167	1	8	436
168	No	#	#
169	6	98	1040
170	No	#	#
171	No	#	#
172	No	#	#
173	No	#	#
174	No	#	#
175	No	#	#
176	No	#	#
177	No	#	#
178	No	#	#
179	No	#	#
180	No	#	#
181	No	#	#
182	No	#	#
183	No	#	#
184	No	#	#
185	No	#	#
186	No	#	#
187	No	#	#
188	No	#	#
189	No	#	#
190	No	#	#
191	No	#	#
192	No	#	#
193	No	#	#
194	No	#	#
195	No	#	#
196	No	#	#
197	No	#	#
198	No	#	#
199	No	#	#
200	No	#	#
201	4	96	433
202	No	#	#
203	No	#	#
204	4	96	433
205	4	96	433
206	No	#	#
207	No	#	#
208	4	86	311
209	4	86	311
210	No	#	#
211	No	#	#
212	No	#	#
213	No	#	#
214	No	#	#
215	No	#	#
216	No	#	#
217	No	#	#
218	No	#	#
219	No	#	#
220	No	#	#
221	No	#	#
222	No	#	#
223	No	#	#
224	No	#	#
225	No	#	#
226	No	#	#
227	No	#	#
228	1	73	436
229	No	#	#
230	No	#	#
231	No	#	#
232	No	#	#
233	6	92	152
234	No	#	#
235	2	100	720
236	No	#	#
237	No	#	#
238	No	#	#
239	No	#	#
240	No	#	#
241	3	100	37
242	No	#	#
243	No	#	#
244	No	#	#
245	No	#	#
246	No	#	#
247	No	#	#
248	No	#	#
249	No	#	#
250	No	#	#
251	No	#	#
252	No	#	#
253	No	#	#
254	No	#	#
255	No	#	#
256	No	#	#
257	No	#	#
258	No	#	#
259	No	#	#
260	No	#	#
261	No	#	#
262	No	#	#
263	No	#	#
264	No	#	#
265	No	#	#
266	No	#	#
267	No	#	#
268	No	#	#
269	No	#	#
270	No	#	#
271	No	#	#
272	No	#	#
273	5	82	449
274	No	#	#
275	No	#	#
276	No	#	#
277	No	#	#
278	No	#	#
279	No	#	#
280	No	#	#
281	No	#	#
282	No	#	#
283	No	#	#
284	No	#	#
285	No	#	#
286	No	#	#
287	No	#	#
288	No	#	#
289	No	#	#
290	No	#	#
291	No	#	#
292	No	#	#
293	No	#	#
294	No	#	#
295	No	#	#
296	No	#	#
297	No	#	#
298	4	96	433
299	No	#	#
300	4	96	433
301	No	#	#
302	4	96	433
303	No	#	#
304	No	#	#
305	No	#	#
306	No	#	#
307	No	#	#
308	No	#	#
309	No	#	#
310	4	86	311
311	3	82	143
312	No	#	#
313	3	90	143
314	4	86	311
315	4	86	311
316	No	#	#
317	No	#	#
318	No	#	#
319	No	#	#
320	No	#	#
321	No	#	#
322	1	93	121
323	No	#	#
324	2	74	1474
325	No	#	#
326	1	27	121
327	No	#	#
328	No	#	#
329	6	76	977
330	3	89	462
331	No	#	#
332	No	#	#
333	2	60	531
334	No	#	#
335	No	#	#
336	No	#	#
337	No	#	#
338	No	#	#
339	No	#	#
340	No	#	#
341	4	96	433
342	4	96	433
343	4	96	433
344	4	96	433
345	4	96	433
346	4	96	433
347	No	#	#
348	2	83	1220
349	4	90	330
350	No	#	#
351	5	86	726
352	2	82	1220
353	No	#	#
354	No	#	#
355	No	#	#
356	3	93	1408
357	No	#	#
358	No	#	#
359	No	#	#
360	No	#	#
361	No	#	#
362	No	#	#
363	No	#	#
364	No	#	#
365	No	#	#
366	No	#	#
367	No	#	#
368	No	#	#
369	No	#	#
370	No	#	#
371	2	92	1474
372	No	#	#
373	No	#	#
374	2	92	1474
375	No	#	#
376	No	#	#
377	No	#	#
378	No	#	#
379	No	#	#
380	No	#	#
381	No	#	#
382	No	#	#
383	No	#	#
384	No	#	#
385	3	95	1147
386	3	97	1147
387	No	#	#
388	4	37	404
389	No	#	#
390	3	78	481
391	4	86	482
392	3	99	483
393	4	83	484
394	No	#	#
395	No	#	#
396	No	#	#
397	No	#	#
398	No	#	#
399	No	#	#
400	No	#	#
401	No	#	#
402	No	#	#
403	5	52	405
404	3	10	74
405	4	36	404
406	No	#	#
407	No	#	#
408	No	#	#
409	No	#	#
410	No	#	#
411	6	82	457
412	No	#	#
413	No	#	#
414	No	#	#
415	No	#	#
416	No	#	#
417	No	#	#
418	No	#	#
419	No	#	#
420	1	82	121
421	No	#	#
422	No	#	#
423	5	90	1498
424	No	#	#
425	No	#	#
426	No	#	#
427	2	92	420
428	No	#	#
429	3	88	590
430	4	96	433
431	4	96	433
432	4	96	433
433	3	78	136
434	4	96	433
435	No	#	#
436	Source	#	#
437	No	#	#
438	No	#	#
439	No	#	#
440	No	#	#
441	2	84	35
442	No	#	#
443	No	#	#
444	3	96	561
445	No	#	#
446	No	#	#
447	No	#	#
448	1	73	121
449	4	63	575
450	No	#	#
451	No	#	#
452	No	#	#
453	No	#	#
454	6	94	455
455	5	90	149
456	No	#	#
457	5	75	572
458	No	#	#
459	3	95	1505
460	7	77	665
461	No	#	#
462	2	83	420
463	2	90	167
464	No	#	#
465	No	#	#
466	No	#	#
467	No	#	#
468	2	79	167
469	No	#	#
470	No	#	#
471	No	#	#
472	No	#	#
473	3	100	566
474	No	#	#
475	No	#	#
476	No	#	#
477	No	#	#
478	No	#	#
479	No	#	#
480	No	#	#
481	2	54	869
482	3	55	38
483	2	54	869
484	3	55	38
485	No	#	#
486	No	#	#
487	6	95	488
488	5	91	577
489	5	91	577
490	No	#	#
491	No	#	#
492	No	#	#
493	No	#	#
494	3	99	127
495	No	#	#
496	No	#	#
497	No	#	#
498	No	#	#
499	No	#	#
500	5	47	405
501	No	#	#
502	3	81	1076
503	No	#	#
504	No	#	#
505	No	#	#
506	No	#	#
507	No	#	#
508	3	79	722
509	No	#	#
510	2	98	1220
511	No	#	#
512	No	#	#
513	No	#	#
514	No	#	#
515	5	97	110
516	No	#	#
517	No	#	#
518	No	#	#
519	No	#	#
520	No	#	#
521	No	#	#
522	No	#	#
523	No	#	#
524	2	51	167
525	No	#	#
526	No	#	#
527	No	#	#
528	No	#	#
529	4	81	976
530	No	#	#
531	1	36	544
532	6	58	500
533	No	#	#
534	No	#	#
535	No	#	#
536	No	#	#
537	No	#	#
538	No	#	#
539	No	#	#
540	No	#	#
541	3	81	1405
542	No	#	#
543	7	97	1101
544	Source	#	#
545	No	#	#
546	No	#	#
547	No	#	#
548	No	#	#
549	No	#	#
550	No	#	#
551	No	#	#
552	No	#	#
553	3	70	38
554	No	#	#
555	No	#	#
556	5	95	662
557	No	#	#
558	No	#	#
559	No	#	#
560	2	96	531
561	2	93	827
562	2	85	1220
563	1	46	436
564	2	95	167
565	2	82	1220
566	2	91	326
567	No	#	#
568	No	#	#
569	No	#	#
570	No	#	#
571	No	#	#
572	4	69	575
573	No	#	#
574	No	#	#
575	3	61	969
576	No	#	#
577	4	76	575
578	No	#	#
579	No	#	#
580	No	#	#
581	3	76	981
582	No	#	#
583	6	99	690
584	No	#	#
585	No	#	#
586	No	#	#
587	4	80	1390
588	No	#	#
589	2	82	1220
590	2	74	1474
591	No	#	#
592	No	#	#
593	No	#	#
594	No	#	#
595	3	86	749
596	No	#	#
597	No	#	#
598	3	73	981
599	No	#	#
600	No	#	#
601	4	78	598
602	No	#	#
603	6	99	1132
604	No	#	#
605	No	#	#
606	3	93	371
607	No	#	#
608	No	#	#
609	No	#	#
610	7	96	862
611	No	#	#
612	No	#	#
613	No	#	#
614	6	98	1040
615	No	#	#
616	1	6	436
617	No	#	#
618	No	#	#
619	No	#	#
620	No	#	#
621	No	#	#
622	No	#	#
623	No	#	#
624	No	#	#
625	No	#	#
626	No	#	#
627	No	#	#
628	No	#	#
629	No	#	#
630	No	#	#
631	No	#	#
632	No	#	#
633	No	#	#
634	No	#	#
635	No	#	#
636	5	90	37
637	No	#	#
638	No	#	#
639	No	#	#
640	No	#	#
641	4	100	668
642	5	98	577
643	No	#	#
644	No	#	#
645	No	#	#
646	No	#	#
647	No	#	#
648	No	#	#
649	No	#	#
650	7	98	798
651	No	#	#
652	No	#	#
653	No	#	#
654	No	#	#
655	No	#	#
656	No	#	#
657	No	#	#
658	No	#	#
659	No	#	#
660	3	84	1379
661	3	92	566
662	4	89	1094
663	3	95	1076
664	No	#	#
665	6	52	500
666	5	87	1395
667	3	85	722
668	3	78	136
669	3	78	136
670	4	88	667
671	No	#	#
672	No	#	#
673	No	#	#
674	No	#	#
675	No	#	#
676	No	#	#
677	No	#	#
678	No	#	#
679	2	82	1220
680	No	#	#
681	No	#	#
682	No	#	#
683	No	#	#
684	No	#	#
685	No	#	#
686	No	#	#
687	No	#	#
688	3	95	127
689	No	#	#
690	5	94	149
691	No	#	#
692	No	#	#
693	No	#	#
694	No	#	#
695	No	#	#
696	No	#	#
697	No	#	#
698	No	#	#
699	No	#	#
700	No	#	#
701	No	#	#
702	3	80	590
703	2	88	35
704	No	#	#
705	No	#	#
706	3	98	1076
707	No	#	#
708	No	#	#
709	No	#	#
710	No	#	#
711	No	#	#
712	No	#	#
713	No	#	#
714	4	96	433
715	No	#	#
716	No	#	#
717	No	#	#
718	No	#	#
719	No	#	#
720	1	84	436
721	No	#	#
722	2	77	1220
723	No	#	#
724	No	#	#
725	No	#	#
726	4	70	827
727	No	#	#
728	No	#	#
729	6	91	455
730	No	#	#
731	No	#	#
732	No	#	#
733	No	#	#
734	No	#	#
735	No	#	#
736	No	#	#
737	No	#	#
738	No	#	#
739	No	#	#
740	No	#	#
741	No	#	#
742	No	#	#
743	No	#	#
744	No	#	#
745	No	#	#
746	No	#	#
747	No	#	#
748	3	85	762
749	2	69	531
750	No	#	#
751	No	#	#
752	No	#	#
753	No	#	#
754	No	#	#
755	No	#	#
756	No	#	#
757	No	#	#
758	No	#	#
759	No	#	#
760	7	99	665
761	No	#	#
762	2	82	531
763	No	#	#
764	No	#	#
765	No	#	#
766	No	#	#
767	No	#	#
768	3	100	797
769	3	83	762
770	4	99	769
771	No	#	#
772	No	#	#
773	6	93	351
774	3	96	561
775	No	#	#
776	No	#	#
777	No	#	#
778	No	#	#
779	No	#	#
780	5	78	940
781	No	#	#
782	No	#	#
783	No	#	#
784	5	84	601
785	No	#	#
786	No	#	#
787	No	#	#
788	No	#	#
789	3	86	762
790	No	#	#
791	2	89	531
792	No	#	#
793	No	#	#
794	No	#	#
795	No	#	#
796	2	96	420
797	2	86	1130
798	6	96	152
799	No	#	#
800	No	#	#
801	No	#	#
802	3	99	127
803	No	#	#
804	No	#	#
805	No	#	#
806	No	#	#
807	No	#	#
808	No	#	#
809	3	40	68
810	No	#	#
811	No	#	#
812	No	#	#
813	No	#	#
814	No	#	#
815	No	#	#
816	No	#	#
817	No	#	#
818	No	#	#
819	2	95	420
820	No	#	#
821	No	#	#
822	No	#	#
823	No	#	#
824	No	#	#
825	No	#	#
826	No	#	#
827	1	92	544
828	No	#	#
829	No	#	#
830	No	#	#
831	No	#	#
832	No	#	#
833	No	#	#
834	4	99	433
835	No	#	#
836	No	#	#
837	No	#	#
838	No	#	#
839	No	#	#
840	No	#	#
841	No	#	#
842	No	#	#
843	No	#	#
